,AIDA_WW_UCAW_LA_18062021.,Getting travel insurance:AIDA_WW_CAW_CB_07062021,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums:AIDA_WW_CAW_CB_07062021",Renting a car:AIDA_WW_CAW_CB_07062021,Hiring a tour guide:AIDA_WW_CAW_CB_07062021,Finding a 5* hotel:AIDA_WW_CAW_CB_07062021,Finding free accommodation via couch surfing website:AIDA_WW_CAW_CB_07062021,Buying a weekly ticket for public transport:AIDA_WW_CAW_CB_07062021,Getting free advice/maps from the local tourist organization:AIDA_WW_CAW_CB_07062021,Renting a bike from the street (public bicycle scheme):AIDA_WW_CAW_CB_07062021,Walking into the mayor’s office for a quick catch up:AIDA_WW_CAW_CB_07062021,AIDA_WW_UUBA_TB_18062021 ,Go City:AIDA_WW_ABA_IMS_07062021,CityPass:AIDA_WW_ABA_IMS_07062021,The Sightseeing Pass:AIDA_WW_ABA_IMS_07062021,iVenture Card:AIDA_WW_ABA_IMS_07062021,Turbopass:AIDA_WW_ABA_IMS_07062021,The New York Pass:AIDA_WW_ABA_IMS_07062021,Hopper Pass:AIDA_WW_ABA_IMS_07062021,Tour Pass:AIDA_WW_ABA_IMS_07062021,Zipper Pass:AIDA_WW_ABA_IMS_07062021,Go Las Vegas:AIDA_WW_ABA_IMS_07062021,Go Oahu:AIDA_WW_ABA_IMS_07062021,AIDA_WW_AWS_RB_14062021,Other:AIDA_WW_AWS_RB_14062021,Go City :AIDA_WW_BEX_CB_16082021,City Pass :AIDA_WW_BEX_CB_16082021,The Sightseeing Pass :AIDA_WW_BEX_CB_16082021,iVenture Card :AIDA_WW_BEX_CB_16082021,Turbopass :AIDA_WW_BEX_CB_16082021,The New York Pass :AIDA_WW_BEX_CB_16082021,Go City:AIDA_WW_BSAT_RBG_07062021,CityPass:AIDA_WW_BSAT_RBG_07062021,The Sightseeing Pass:AIDA_WW_BSAT_RBG_07062021,iVentureCard:AIDA_WW_BSAT_RBG_07062021,Turbopass:AIDA_WW_BSAT_RBG_07062021,The New York Pass:AIDA_WW_BSAT_RBG_07062021,Go City:AIDA_WW_BCON_RBG_07062021,CityPass:AIDA_WW_BCON_RBG_07062021,The Sightseeing Pass:AIDA_WW_BCON_RBG_07062021,iVenture Card:AIDA_WW_BCON_RBG_07062021,Turbopass:AIDA_WW_BCON_RBG_07062021,The New York Pass:AIDA_WW_BCON_RBG_07062021,AIDA_WW_PURCHI_RB_07062021,AIDA_WW_UCAW_LA_18062021._clean,AIDA_WW_UUBA_TB_18062021 _clean,AIDA_WW_UBA_TB_07062021_clean,I own a valid passport:SBEH_US_PASS_CB_07062021,I plan a leisure trip within the USA in the next two years:SBEH_US_PASS_CB_07062021,I plan a leisure trip abroad in the next two years:SBEH_US_PASS_CB_07062021,Boston:SBEH_US_TRINTUS_CB_14062021.,Chicago:SBEH_US_TRINTUS_CB_14062021.,Las Vegas:SBEH_US_TRINTUS_CB_14062021.,Los Angeles:SBEH_US_TRINTUS_CB_14062021.,Miami:SBEH_US_TRINTUS_CB_14062021.,New Orleans:SBEH_US_TRINTUS_CB_14062021.,New York:SBEH_US_TRINTUS_CB_14062021.,Oahu:SBEH_US_TRINTUS_CB_14062021.,Orlando:SBEH_US_TRINTUS_CB_14062021.,Philadelphia:SBEH_US_TRINTUS_CB_14062021.,San Antonio:SBEH_US_TRINTUS_CB_14062021.,San Diego:SBEH_US_TRINTUS_CB_14062021.,San Francisco:SBEH_US_TRINTUS_CB_14062021.,Washington DC:SBEH_US_TRINTUS_CB_14062021.,Bangkok:SBEH_US_TRINTWW_CB_14062021,Dubai:SBEH_US_TRINTWW_CB_14062021,Hong Kong:SBEH_US_TRINTWW_CB_14062021,Shanghai:SBEH_US_TRINTWW_CB_14062021,Singapore:SBEH_US_TRINTWW_CB_14062021,Cancun:SBEH_US_TRINTWW_CB_14062021,Barcelona:SBEH_US_TRINTWW_CB_14062021,Berlin:SBEH_US_TRINTWW_CB_14062021,Dublin:SBEH_US_TRINTWW_CB_14062021,Gothenburg:SBEH_US_TRINTWW_CB_14062021,Helsinki:SBEH_US_TRINTWW_CB_14062021,London:SBEH_US_TRINTWW_CB_14062021,Madrid:SBEH_US_TRINTWW_CB_14062021,Paris:SBEH_US_TRINTWW_CB_14062021,Rome:SBEH_US_TRINTWW_CB_14062021,Stockholm:SBEH_US_TRINTWW_CB_14062021,Vienna:SBEH_US_TRINTWW_CB_14062021,SBEH_WW_TRFREQ_RB_07062021,SBEH_WW_AVTRIP_RB_07062021,Beach or seaside resort:SBEH_WW_DESTTYPE_CB_07062021,Mountain or alpine resort:SBEH_WW_DESTTYPE_CB_07062021,City or Metropolis:SBEH_WW_DESTTYPE_CB_07062021,Culturally/Spiritually significant place:SBEH_WW_DESTTYPE_CB_07062021,Rural or countryside locales:SBEH_WW_DESTTYPE_CB_07062021,Niche or extreme destinations (e.g. Antarctica):SBEH_WW_DESTTYPE_CB_07062021,Something else:SBEH_WW_DESTTYPE_CB_07062021,Hotel:SBEH_WW_STAYTYPE_CB_07062021,Luxury resort:SBEH_WW_STAYTYPE_CB_07062021,Airbnb / privately rented accommodations:SBEH_WW_STAYTYPE_CB_07062021,Youth hostel:SBEH_WW_STAYTYPE_CB_07062021,Relative or friend’s house:SBEH_WW_STAYTYPE_CB_07062021,Campsite:SBEH_WW_STAYTYPE_CB_07062021,Somewhere else:SBEH_WW_STAYTYPE_CB_07062021
221,"Plane ticket, hotel, maybe amusement parks or museums or some sight seeing thing, restaurants",Getting travel insurance,NoAnswer,Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,"Travelocity, hotels.com",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"plane ticket, hotel, maybe amusement parks or museums or some sight seeing thing, restaurants","travelocity, hotels.com",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,Los Angeles,Miami,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,4 days or fewer,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
222,Hotels activities tours and meals ,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,There are no brands that come to mind,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Turbopass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Turbopass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Neither satisfied nor dissatisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,NoAnswer,I am not sure / I will decide on the spot,hotels activities tours and meals ,there are no brands that come to mind,i will skip,NoAnswer,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Oahu,NoAnswer,Philadelphia,San Antonio,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Cancun,NoAnswer,NoAnswer,Dublin,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Once a year or about once a year,Between 1 and 2 weeks,NoAnswer,Mountain or alpine resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Campsite,NoAnswer
223,A hotel room with free wifi and breakfast,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Finding free accommodation via couch surfing website,NoAnswer,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,Hotels.com,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,a hotel room with free wifi and breakfast,hotels.com,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,NoAnswer,Mountain or alpine resort,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
224,"Prebook airline fare, hotels, transportation, visits to different sites and maybe dinner reservations",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"Travelocity, price line",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,None. I am very unlikely to buy a leisure pass,"prebook airline fare, hotels, transportation, visits to different sites and maybe dinner reservations","travelocity, price line",i don't know of any,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
225,"Hotel,car rental",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"Enterprise rent a car, Marriot Hotel",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,"hotel,car rental","enterprise rent a car, marriot hotel","statue of liberty, broadway",NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,San Francisco,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,Culturally/Spiritually significant place,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
226,"Flight, hotel, car service, theater reservations",NoAnswer,NoAnswer,Renting a car,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,"Delta, Waldorf, enterprise",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"flight, hotel, car service, theater reservations","delta, waldorf, enterprise",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New Orleans,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,Between 1 and 2 weeks,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
227,Hotel  flight Tour Expensive meal ,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Travelocity AAA,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,hotel  flight tour expensive meal ,travelocity aaa,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Something else,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
228,"A hotel, possibly a car, events, etx",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,NoAnswer,NoAnswer,Buying a weekly ticket for public transport,NoAnswer,Renting a bike from the street (public bicycle scheme),NoAnswer,"NYC, Disney, m&m",NoAnswer,NoAnswer,NoAnswer,NoAnswer,Turbopass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Neither likely nor unlikely,NoAnswer,I am not sure / I will decide on the spot,"a hotel, possibly a car, events, etx","nyc, disney, m&m",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,4 days or fewer,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
229,If it was new York all dinner reservations statue of liberty visit possibly mesumes anything with a large number of people that allows because of covid 19,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,Chanel Dior Versace Louis veiton North face Coach,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,if it was new york all dinner reservations statue of liberty visit possibly mesumes anything with a large number of people that allows because of covid 19,chanel dior versace louis veiton north face coach,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,Chicago,NoAnswer,NoAnswer,Miami,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,5-6 days,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Luxury resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
230,"Flight, hotel and car",Getting travel insurance,NoAnswer,Renting a car,Hiring a tour guide,Finding a 5* hotel,Finding free accommodation via couch surfing website,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,Southwest hilton enterprise,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"flight, hotel and car",southwest hilton enterprise,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,5-6 days,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
231,"Flights, hotel, restaurants, tours, rental car ",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,NoAnswer,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"Delta, AMEX",NoAnswer,CityPass,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,Very likely,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,I am not sure / I will decide on the spot,"flights, hotel, restaurants, tours, rental car ","delta, amex",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,Boston,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Paris,Rome,NoAnswer,NoAnswer,Multiple times a year,Between 1 and 2 weeks,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,Luxury resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
232,"restaurant reservation, broadway show, museum and other tourist attractions",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,Hiring a tour guide,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,"expedia.com, tripadvisors",NoAnswer,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Citypass,"restaurant reservation, broadway show, museum and other tourist attractions","expedia.com, tripadvisors",city pass,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,Los Angeles,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,London,NoAnswer,Paris,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,5-6 days,NoAnswer,NoAnswer,City or Metropolis,Culturally/Spiritually significant place,NoAnswer,NoAnswer,NoAnswer,Hotel,Luxury resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
233,Hotel car service restaurant reservation.,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,Finding free accommodation via couch surfing website,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,Not sure,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Zipper Pass,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,hotel car service restaurant reservation.,not sure,moma natural history museum,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,London,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,4 days or fewer,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
234,"ride to the air port, airline tickets, hotel",NoAnswer,NoAnswer,Renting a car,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"uber, lift, united, american, hotels .com",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"ride to the air port, airline tickets, hotel","uber, lift, united, american, hotels .com",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,San Francisco,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
235,I'd book the flight and hotel,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,Finding free accommodation via couch surfing website,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Hotels.com Priceline,NoAnswer,CityPass,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very satisfied,NoAnswer,Very likely,NoAnswer,NoAnswer,NoAnswer,Very likely,The New York Pass,i'd book the flight and hotel,hotels.com priceline,disneyland,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Bangkok,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,5-6 days,Beach or seaside resort,Mountain or alpine resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
236,I would have the transportation booked or figured out. I would have a place already booked too,NoAnswer,NoAnswer,Renting a car,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,I have no idea,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,i would have the transportation booked or figured out. i would have a place already booked too,i have no idea,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,NoAnswer,Miami,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,4 days or fewer,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
